Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=138.SPF.Q.U2.ASSU.IR.2018.Q.AVG
,SPF.Q.U2.ASSU.IR.2018.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - 2018 - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2017Q4,0.02,Forecast value (F)
2017Q3,0.04,Forecast value (F)
2017Q2,0.05,Forecast value (F)
2017Q1,0.00,Forecast value (F)
2016Q4,0.05,Forecast value (F)
2016Q3,0.12,Forecast value (F)
2016Q2,0.21,Forecast value (F)
2016Q1,0.41,Forecast value (F)
