Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=138.SPF.Q.U2.ASSU.IR.2017.Q.AVG
,SPF.Q.U2.ASSU.IR.2017.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - 2017 - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2016Q4,0.00,Forecast value (F)
2016Q3,-0.00,Forecast value (F)
2016Q2,0.01,Forecast value (F)
2016Q1,0.11,Forecast value (F)
2015Q4,0.21,Forecast value (F)
2015Q3,0.31,Forecast value (F)
2015Q2,0.35,Forecast value (F)
2015Q1,0.43,Forecast value (F)
