Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=138.SPF.Q.U2.ASSU.IR.2013.Q.AVG
,SPF.Q.U2.ASSU.IR.2013.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - 2013 - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2012Q4,0.62,Forecast value (F)
2012Q3,0.74,Forecast value (F)
2012Q2,1.01,Forecast value (F)
2012Q1,1.05,Forecast value (F)
2011Q4,1.64,Forecast value (F)
2011Q3,2.76,Forecast value (F)
