Data Source in SDW: null
,SPF.A.U2.ASSU.IR.P15M.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - Target period ends 15 months after survey cycle begins - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2023,2.75,Forecast value (F)
2022,0.00,Forecast value (F)
2021,-0.03,Forecast value (F)
2020,0.01,Forecast value (F)
2019,0.11,Forecast value (F)
2018,0.02,Forecast value (F)
2017,0.00,Forecast value (F)
2016,0.06,Forecast value (F)
2015,0.07,Forecast value (F)
2014,0.49,Forecast value (F)
2013,0.62,Forecast value (F)
2012,1.27,Forecast value (F)
2011,1.15,Forecast value (F)
