DATE,CPALTT01ITQ657N
2000-01-01,0.630820066085906
2000-04-01,0.716417910447755
2000-07-01,0.592768227622994
2000-10-01,0.707130229817319
2001-01-01,0.848449385605625
2001-04-01,0.870322019147092
2001-07-01,0.345125107851593
2001-10-01,0.315276583548306
2002-01-01,0.85714285714285
2002-04-01,0.73654390934845
2002-07-01,0.478065241844765
2002-10-01,0.671704450041976
2003-01-01,0.806227411731992
2003-04-01,0.717043574186425
2003-07-01,0.520262869660469
2003-10-01,0.46308907654591
2004-01-01,0.569414316702815
2004-04-01,0.75492046373685
2004-07-01,0.428150923200424
2004-10-01,0.213162803090859
2005-01-01,0.505184791278924
2005-04-01,0.687830687830682
2005-07-01,0.604308985811897
2005-10-01,0.339514233481311
2006-01-01,0.494534096824566
2006-04-01,0.777000777000784
2006-07-01,0.539707016191219
2006-10-01,0
2007-01-01,0.408997955010221
2007-04-01,0.636456211812622
2007-07-01,0.581836579812808
2007-10-01,0.70422535211267
2008-01-01,1.0989010989011
2008-04-01,1.13636363636363
2008-07-01,0.977039570102605
2008-10-01,-0.435413642960833
2009-01-01,-0.19436345966958
2009-04-01,0.511197663096417
2009-07-01,0.242189392104612
2009-10-01,0.096641700893947
2010-01-01,0.434467776973204
2010-04-01,0.624849795722165
2010-07-01,0.453785526630066
2010-10-01,0.26153114598194
2011-01-01,0.979558928147936
2011-04-01,0.952068286277083
2011-07-01,0.585365853658544
2011-10-01,0.743614613643715
2012-01-01,0.930680359435171
2012-04-01,0.985691573926876
2012-07-01,0.472292191435767
2012-10-01,0.0626762770291203
2013-01-01,0.375822110867546
2013-04-01,0.249609984399369
2013-07-01,0.435729847494564
2013-10-01,-0.371862410907976
2014-01-01,0.18662519440125
2014-04-01,0.186277553554803
2014-07-01,-0.061977068484659
2014-10-01,-0.217054263565897
2015-01-01,-0.155376009944072
2015-04-01,0.497976968565213
2015-07-01,0.0619386807060993
2015-10-01,-0.247601361807505
2016-01-01,-0.404902264970519
2016-04-01,0.200937709310103
2016-07-01,0.434491978609611
2016-10-01,-0.0998336106489075
2017-01-01,0.799467021985344
2017-04-01,0.363516192994056
2017-07-01,0.0658544616397908
2017-10-01,-0.296150049358353
2018-01-01,0.594059405940595
2018-04-01,0.557742782152235
2018-07-01,0.619902120717756
2018-10-01,-0.356679636835283
2019-01-01,0.13016596160107
2019-04-01,0.454988625284361
2019-07-01,0.129407958589439
2019-10-01,-0.420032310177681
2020-01-01,0.129785853341993
2020-04-01,0.0324044069993268
2020-07-01,-0.226757369614509
2020-10-01,-0.162337662337644
2021-01-01,0.943089430894292
2021-04-01,0.64432989690721
2021-07-01,0.736235595390551
2021-10-01,1.17572291070861
2022-01-01,3.01507537688442
2022-04-01,1.82926829268291
2022-07-01,2.12574850299404
2022-10-01,4.30958663148636
2023-01-01,0.393479482855531
