DATE,CPALTT01FRQ657N
2000-01-01,0.549032857504853
2000-04-01,0.571236559139792
2000-07-01,0.367524223187439
2000-10-01,0.411950732356854
2001-01-01,-0.049728564916492
2001-04-01,1.31017040507482
2001-07-01,0.0982197667280705
2001-10-01,0.0449732204914297
2002-01-01,0.686554965263594
2002-04-01,0.787401574803144
2002-07-01,0.245650773195876
2002-10-01,0.409753746033016
2003-01-01,0.90418083616724
2003-04-01,0.340985686531081
2003-07-01,0.264748883708049
2003-10-01,0.658154015921816
2004-01-01,0.52464664656827
2004-04-01,0.923076923076899
2004-07-01,0.162087063908609
2004-10-01,0.466209447484023
2005-01-01,0.161073825503351
2005-04-01,0.903625990734007
2005-07-01,0.33772246044095
2005-10-01,0.268512215414866
2006-01-01,0.264021423452642
2006-04-01,1.03073392769816
2006-07-01,0.122872994005274
2006-10-01,-0.107846783190765
2007-01-01,0.115408957224216
2007-04-01,1.04120184441471
2007-07-01,0.217135286324133
2007-10-01,0.954794168411032
2008-01-01,0.705685497071752
2008-04-01,1.39064475347662
2008-07-01,0.163876024225169
2008-10-01,-0.50149381135297
2009-01-01,-0.418230563002694
2009-04-01,0.552803503481955
2009-07-01,-0.053548479223196
2009-10-01,0.285744901239399
2010-01-01,0.534245111657253
2010-04-01,0.839621638856404
2010-07-01,-0.122962338392342
2010-10-01,0.383411305357187
2011-01-01,0.686803560165411
2011-04-01,1.10670286072248
2011-07-01,-0.0516315572077597
2011-10-01,0.681888624857922
2012-01-01,0.560971438344445
2012-04-01,0.795945440321125
2012-07-01,-0.0742415550231304
2012-10-01,0.2431528823748
2013-01-01,0.0943300879291073
2013-04-01,0.541886843256714
2013-07-01,0.0569094804499245
2013-10-01,-0.0434942621031324
2014-01-01,0.170705583076732
2014-04-01,0.444414742540177
2014-07-01,-0.172987358616104
2014-10-01,-0.163289789389489
2015-01-01,-0.34714109282687
2015-04-01,0.901021604421371
2015-07-01,-0.302084716505101
2015-10-01,-0.153164851996132
2016-01-01,-0.480208090172422
2016-04-01,0.934892604630922
2016-07-01,-0.0165991634021848
2016-10-01,0.0664076767274224
2017-01-01,0.245545342933952
2017-04-01,0.589189368110954
2017-07-01,-0.0329066438514119
2017-10-01,0.335758254057086
2018-01-01,0.462583248581076
2018-04-01,1.1201097250343
2018-07-01,0.313256902954936
2018-10-01,-0.00965810314851912
2019-01-01,-0.202839756592313
2019-04-01,1.02271260807846
2019-07-01,0.194807268546631
2019-10-01,0.0701217568687371
2020-01-01,-0.095553573703646
2020-04-01,0.127526621182158
2020-07-01,0.245176081003645
2020-10-01,-0.200107994790839
2021-01-01,0.56970082749841
2021-04-01,0.76268236336593
2021-07-01,0.584170854271355
2021-10-01,0.774370823705737
2022-01-01,1.49036376030241
2022-04-01,2.34773317050828
2022-07-01,1.11860159885457
2022-10-01,0.982329862237834
2023-01-01,1.41680299135312
