Data Source in SDW: null
,MNA.Q.Y.FR.W2.S1.S1.B.B1GQ._Z._Z._Z.XDC.LR.G1
,"Gross domestic product at market prices - France - Domestic (home or reference area), Total economy, Domestic currency (incl. conversion to current currency made using a fix parity), Chain linked volume (rebased), Growth rate, period on period, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Domestic currency ]
,,obs. status
1982Q1,0.9,Normal value (A)
1981Q4,0.6,Normal value (A)
1981Q3,0.7,Normal value (A)
1981Q2,0.7,Normal value (A)
1981Q1,0.3,Normal value (A)
1980Q4,-0.2,Normal value (A)
1980Q3,0.2,Normal value (A)
1980Q2,-0.8,Normal value (A)
1980Q1,5.2,Normal value (A)
1979Q4,0.3,Normal value (A)
1979Q3,1.3,Normal value (A)
1979Q2,0.5,Normal value (A)
1979Q1,0.9,Normal value (A)
1978Q4,1.1,Normal value (A)
1978Q3,0.8,Normal value (A)
1978Q2,1.1,Normal value (A)
1978Q1,1.3,Normal value (A)
1977Q4,0.8,Normal value (A)
1977Q3,0.9,Normal value (A)
1977Q2,0.3,Normal value (A)
1977Q1,1.2,Normal value (A)
1976Q4,0.7,Normal value (A)
1976Q3,1.1,Normal value (A)
1976Q2,1.4,Normal value (A)
1976Q1,1.0,Normal value (A)
1975Q4,2.1,Normal value (A)
1975Q3,0.0,Normal value (A)
1975Q2,-0.3,Normal value (A)
1975Q1,-0.7,Normal value (A)
1974Q4,-1.7,Normal value (A)
1974Q3,0.9,Normal value (A)
1974Q2,0.7,Normal value (A)
1974Q1,1.7,Normal value (A)
1973Q4,1.1,Normal value (A)
1973Q3,1.6,Normal value (A)
1973Q2,1.6,Normal value (A)
1973Q1,1.7,Normal value (A)
1972Q4,1.6,Normal value (A)
1972Q3,1.4,Normal value (A)
1972Q2,0.9,Normal value (A)
1972Q1,1.1,Normal value (A)
1971Q4,1.0,Normal value (A)
1971Q3,1.4,Normal value (A)
1971Q2,1.1,Normal value (A)
1971Q1,1.6,Normal value (A)
1970Q4,1.3,Normal value (A)
1970Q3,1.0,Normal value (A)
1970Q2,1.6,Normal value (A)
1970Q1,1.5,Normal value (A)
1969Q4,1.5,Normal value (A)
1969Q3,1.4,Normal value (A)
1969Q2,2.1,Normal value (A)
1969Q1,1.0,Normal value (A)
1968Q4,1.3,Normal value (A)
1968Q3,7.7,Normal value (A)
1968Q2,-5.0,Normal value (A)
1968Q1,2.5,Normal value (A)
1967Q4,1.0,Normal value (A)
1967Q3,1.2,Normal value (A)
1967Q2,1.1,Normal value (A)
1967Q1,1.6,Normal value (A)
1966Q4,0.7,Normal value (A)
1966Q3,1.3,Normal value (A)
1966Q2,1.5,Normal value (A)
1966Q1,0.9,Normal value (A)
1965Q4,1.5,Normal value (A)
1965Q3,1.4,Normal value (A)
1965Q2,1.7,Normal value (A)
1965Q1,0.6,Normal value (A)
1964Q4,1.4,Normal value (A)
1964Q3,0.9,Normal value (A)
1964Q2,1.1,Normal value (A)
1964Q1,2.1,Normal value (A)
