Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=138.SPF.Q.U2.ASSU.IR.2016.Q.AVG
,SPF.Q.U2.ASSU.IR.2016.Q.AVG
,Euro area (changing composition) - Assumptions - Interest rate - 2016 - Quarterly survey
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
,,obs. status
2015Q4,0.06,Forecast value (F)
2015Q3,0.06,Forecast value (F)
2015Q2,0.08,Forecast value (F)
2015Q1,0.11,Forecast value (F)
2014Q4,0.16,Forecast value (F)
2014Q3,0.35,Forecast value (F)
2014Q2,0.69,Forecast value (F)
2014Q1,0.94,Forecast value (F)
