DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1999-10,2.72000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1999-11,2.52000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,1999-12,2.28000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-01,0.81000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-02,1.32000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-03,2.68000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-04,3.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-05,3.06000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-06,4.21000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-07,2.76000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-08,3.69000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-09,3.39000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-10,3.45000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-11,4.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2000-12,2.38000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-01,0.68000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-02,1.90000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-03,3.13000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-04,3.78000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-05,3.60000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-06,3.68000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-07,4.27000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-08,5.64000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-09,3.52000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-10,4.80000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-11,3.60000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2001-12,4.96000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-01,0.81000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-02,1.45000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-03,1.09000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-04,1.57000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-05,1.58000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-06,7.07000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-07,4.55000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-08,2.93000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-09,2.68000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-10,3.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-11,0.73000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2002-12,1.05000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-01,0.67000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-02,0.95000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-03,1.44000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-04,4.65000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-05,2.02000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-06,1.64000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-07,1.62000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-08,2.27000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-09,1.80000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-10,2.55000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-11,2.97000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2003-12,0.94000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-01,0.65000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-02,1.59000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-03,2.05000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-04,1.81000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-05,2.99000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-06,1.96000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-07,2.13000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-08,1.98000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-09,1.94000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-10,2.05000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-11,1.96000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2004-12,1.93000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-01,1.89000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-02,1.91000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-03,1.95000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-04,2.03000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-05,2.06000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-06,2.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-07,2.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-08,2.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-09,2.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-10,2.04000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-11,2.05000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2005-12,2.21000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-01,2.25000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-02,2.28000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-03,2.48000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-04,2.57000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-05,2.56000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-06,2.69000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-07,2.80000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-08,2.94000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-09,2.98000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-10,3.19000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-11,3.26000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2006-12,3.43000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-01,3.53000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-02,3.52000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-03,3.68000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-04,3.81000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-05,3.84000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-06,4.01000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-07,4.10000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-08,4.09000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-09,4.24000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-10,4.26000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-11,4.58000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2007-12,4.68000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-01,4.75000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-02,4.83000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-03,4.85000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-04,4.93000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-05,4.96000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-06,5.06000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-07,5.25000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-08,5.23000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-09,5.38000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-10,5.72000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-11,5.77000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2008-12,5.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-01,3.92000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-02,3.49000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-03,3.53000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-04,2.27000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-05,2.35000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-06,2.24000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-07,1.71000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-08,1.57000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-09,1.46000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-10,0.61000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-11,0.55000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2009-12,0.39000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-01,0.24000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-02,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-03,0.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-04,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-05,0.20000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-06,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-07,0.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-08,0.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-09,0.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-10,0.17000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-11,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2010-12,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-01,0.19000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-02,0.18000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-03,0.19000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-04,0.21000,
ESTAT:IRT_ST_M(1.0),06/06/23 11:00:00,M,IRT_DTD,BG,2011-05,0.22000,
